term,estimate,std.error,statistic,p.value,conf.low,conf.high
"R_age_surgery_class(39,59]",0.650866182531095,1.3987986707304,-0.307014314266462,0.758832476842708,0.0419596754200456,10.0960453893363
"R_age_surgery_class(59,Inf]",0.333905263918361,1.60205998160661,-0.684679712242809,0.493546053925623,0.0144526450573437,7.71434743121561
D_age,1.05307496996477,0.0545477330842478,0.948058227925842,0.343099812146058,0.94629855249307,1.17189959706128
GeschlechtW,0.712180212611207,0.846624361241133,-0.400914865595041,0.688482804789954,0.135500825224485,3.74315547078522
D_sexW,6.26797833602525,0.919206371203518,1.99678105559992,0.0458489724026584,1.03442165829923,37.9802105898259
D_typeLiving,,0,,,,
"cold_time_minutes_class(720,Inf]",0.696694752302066,0.874241826333831,-0.413395811443138,0.679316642907683,0.12557018890685,3.86543639147745
mismatch_sum,1.46346523645568,0.467842847247451,0.81396365340449,0.415665773295075,0.584997293729158,3.6610947115011
`current_PRA%`,1.00950577478912,0.0460139450475969,0.205608955926371,0.837096381182866,0.922447517872811,1.10478036916687
`Highest_PRA%`,0.993852263626763,0.0344539402363269,-0.178984216946181,0.857950094626366,0.928954802151951,1.0632835091954
"`biopsy_proven_recurrence(0=no,1=yes)`1",2.89036177877394e-08,13205.1902501298,-0.00131458151968127,0.99895111600363,0,Inf
