term,estimate,std.error,statistic,p.value,conf.low,conf.high
R_age_surgery,0.952129560193624,0.0408390623964024,-1.20115786043351,0.229689972100039,0.878888487489132,1.03147408607479
D_age,1.04122493117802,0.0413800226626363,0.976264291565577,0.328933510535824,0.96011182628705,1.12919071260615
GeschlechtW,0.483063040636463,0.964015190526176,-0.754768308716384,0.450388012175007,0.0730184471617625,3.19576641656033
D_sexW,10.1552833192148,1.03347298922013,2.24291695893464,0.024902169942446,1.33967126100424,76.9814075254654
D_typeLiving,,0,,,,
cold_time_minutes,1.00127334643712,0.00181682651055824,0.700417134879806,0.483666838468928,0.997714238233323,1.00484515091278
mismatch_sum,1.56678953360774,0.450433572549695,0.996880938821,0.31882230486821,0.648038651556301,3.7880910910597
`current_PRA%`,0.985778336064972,0.0489358824268938,-0.292704662430039,0.769747905804258,0.895622449572463,1.0850095688411
`Highest_PRA%`,1.0022860316075,0.0357778057165803,0.0638223213223548,0.949111704644862,0.934410165271849,1.0750924235325
"`biopsy_proven_recurrence(0=no,1=yes)`1",1.7532531552828e-08,12393.5286494078,-0.00144101072753771,0.998850240186461,0,Inf
